source;target;number;minor
AZSD (2002);SZR (2006);3;1
BPS (2002);BPS (2006);2;1
BPS (2002);SZ (2006);2;1
CZ (2002);NEZ (2006);7;1
CZ (2002);NEZ/DEM (2006);11;1
CZ (2002);PaS (2006);1;1
CSDH (2002);CHNJ (2006);8;1
CSNS (2002);CSNS2005 (2006);13;1
CSNS (2002);MDS (2006);1;1
CSNS (2002);NEZ (2006);1;1
CSNS (2002);NEZ/DEM (2006);3;1
CSNS (2002);PB (2006);1;1
CSNS (2002);SNK-ED (2006);6;1
CSNS (2002);SP (2006);1;1
CSNS (2002);SZ (2006);2;1
CSSD (2002);CSSD (2006);103;0
CSSD (2002);NEZ (2006);1;0
CSSD (2002);NEZ/DEM (2006);1;0
DL (2002);HOB (2006);1;1
DL (2002);NEZ/DEM (2006);1;1
DL (2002);SNK-ED (2006);2;1
HA (2002);HS (2006);11;1
HA (2002);PB (2006);1;1
HA (2002);SZ (2006);2;1
Koalice (2002);DEUCR (2006);1;0
Koalice (2002);KDU-CSL (2006);65;0
Koalice (2002);SNK-ED (2006);4;0
Koalice (2002);SP (2006);1;0
Koalice (2002);US-DEU (2006);29;0
KSCM (2002);KSCM (2006);137;0
KSCM (2002);NI(NEI) (2006);1;0
MoDS (2002);M (2006);31;1
N (2002);LiRA (2006);1;1
N (2002);SNK-ED (2006);2;1
N (2002);SZ (2006);1;1
NDS (2002);NS (2006);21;1
NDS (2002);SZR (2006);1;1
ODA (2002);DEUCR (2006);1;1
ODA (2002);KAN (2006);2;1
ODA (2002);KC (2006);1;1
ODA (2002);LiRA (2006);1;1
ODA (2002);PaS (2006);2;1
ODA (2002);SNK-ED (2006);13;1
ODA (2002);SZR (2006);1;1
ODA (2002);US-DEU (2006);7;1
ODS (2002);ODS (2006);118;1
PB (2002);KAN (2006);1;1
PB (2002);NS (2006);1;1
PB (2002);PaS (2006);9;1
PB (2002);PB (2006);45;1
REP (2002);NEZ/DEM (2006);2;1
REP (2002);PaS (2006);1;1
REP (2002);PB (2006);1;1
RMS (2002);M (2006);2;1
RMS (2002);NS (2006);14;1
RMS (2002);ODS (2006);1;1
RMS (2002);PaS (2006);17;1
SDS (2002);KSCM (2006);1;1
SNK (2002);NEZ (2006);3;1
SNK (2002);NEZ/DEM (2006);4;1
SNK (2002);NS (2006);1;1
SNK (2002);SNK-ED (2006);56;1
SNK (2002);SZ (2006);3;1
SNK (2002);SZR (2006);1;1
SNK (2002);US-DEU (2006);1;1
SV SOS (2002);KAN (2006);1;1
SV SOS (2002);KSCM (2006);1;1
SV SOS (2002);SP (2006);1;1
SV SOS (2002);SRS (2006);1;1
SV SOS (2002);SZR (2006);1;1
SZ (2002);CSSD (2006);1;1
SZ (2002);NEZ (2006);1;1
SZ (2002);PaS (2006);1;1
SZ (2002);SZ (2006);43;1
SZR (2002);PB (2006);1;1
SZR (2002);SZR (2006);7;1
SZJ (2002);M (2006);7;1
SZJ (2002);MDS (2006);4;1
SZJ (2002);NEZ/DEM (2006);18;1
SZJ (2002);NS (2006);1;1
SZJ (2002);ODS (2006);1;1
SZJ (2002);PB (2006);1;1
VPB (2002);4VIZE (2006);1;1
VPB (2002);NS (2006);2;1
